GeneID	100287102	653635	5511	430	Label
SAMPLE627	13.9174068765393	13.7999519937292	15.6712030591164	14.4863747200989	0
SAMPLE628	19.9090721645812	19.9108438011153	19.8542539229943	19.8980689168597	1
SAMPLE627	13.9174068765393	13.7999519937292	15.6712030591164	14.4863747200989	0
SAMPLE628	19.9090721645812	19.9108438011153	19.8542539229943	19.8980689168597	1
SAMPLE627	13.9174068765393	13.7999519937292	15.6712030591164	14.4863747200989	0
SAMPLE628	19.9090721645812	19.9108438011153	19.8542539229943	19.8980689168597	1
SAMPLE627	13.9174068765393	13.7999519937292	15.6712030591164	14.4863747200989	0
SAMPLE628	19.9090721645812	19.9108438011153	19.8542539229943	19.8980689168597	1
SAMPLE627	13.9174068765393	13.7999519937292	15.6712030591164	14.4863747200989	0
SAMPLE628	19.9090721645812	19.9108438011153	19.8542539229943	19.8980689168597	1
SAMPLE627	13.9174068765393	13.7999519937292	15.6712030591164	14.4863747200989	0
SAMPLE628	19.9090721645812	19.9108438011153	19.8542539229943	19.8980689168597	1
SAMPLE627	13.9174068765393	13.7999519937292	15.6712030591164	14.4863747200989	0
SAMPLE628	19.9090721645812	19.9108438011153	19.8542539229943	19.8980689168597	1
SAMPLE627	13.9174068765393	13.7999519937292	15.6712030591164	14.4863747200989	0
SAMPLE628	19.9090721645812	19.9108438011153	19.8542539229943	19.8980689168597	1
SAMPLE627	13.9174068765393	13.7999519937292	15.6712030591164	14.4863747200989	0
SAMPLE628	19.9090721645812	19.9108438011153	19.8542539229943	19.8980689168597	1
SAMPLE627	13.9174068765393	13.7999519937292	15.6712030591164	14.4863747200989	0
SAMPLE628	19.9090721645812	19.9108438011153	19.8542539229943	19.8980689168597	1
SAMPLE627	13.9174068765393	13.7999519937292	15.6712030591164	14.4863747200989	0
SAMPLE628	19.9090721645812	19.9108438011153	19.8542539229943	19.8980689168597	1
SAMPLE627	13.9174068765393	13.7999519937292	15.6712030591164	14.4863747200989	0
SAMPLE628	19.9090721645812	19.9108438011153	19.8542539229943	19.8980689168597	1
